Date,Time,Open,Max,Min,Closure,Volume
2014.10.28,00:00,1.2696,1.2764,1.2684,1.2735,9117
2014.10.29,00:00,1.2736,1.2770,1.2626,1.2637,9254
2014.10.30,00:00,1.2636,1.2639,1.2546,1.2604,11437
2014.10.31,00:00,1.2605,1.2613,1.2485,1.2524,14955
2014.11.03,00:00,1.2508,1.2511,1.2439,1.2490,12547
2014.11.04,00:00,1.2489,1.2576,1.2487,1.2552,10614
2014.11.05,00:00,1.2551,1.2566,1.2457,1.2474,13461
2014.11.06,00:00,1.2475,1.2533,1.2364,1.2378,17092
2014.11.07,00:00,1.2379,1.2469,1.2357,1.2455,16392
2014.11.10,00:00,1.2463,1.2509,1.2418,1.2423,10037
2014.11.11,00:00,1.2424,1.2499,1.2393,1.2473,10828
2014.11.12,00:00,1.2472,1.2497,1.2418,1.2428,12873
2014.11.13,00:00,1.2429,1.2491,1.2426,1.2475,8883
2014.11.14,00:00,1.2474,1.2545,1.2398,1.2524,11839
2014.11.17,00:00,1.2520,1.2577,1.2444,1.2449,10066
2014.11.18,00:00,1.2448,1.2544,1.2443,1.2531,9687
2014.11.19,00:00,1.2532,1.2600,1.2512,1.2545,11714
2014.11.20,00:00,1.2546,1.2575,1.2503,1.2541,14865
2014.11.21,00:00,1.2542,1.2567,1.2374,1.2391,14335
2014.11.24,00:00,1.2373,1.2444,1.2363,1.2437,9269
2014.11.25,00:00,1.2438,1.2486,1.2401,1.2473,9368
2014.11.26,00:00,1.2474,1.2531,1.2443,1.2506,9199
2014.11.27,00:00,1.2505,1.2523,1.2455,1.2458,4905
2014.11.28,00:00,1.2459,1.2490,1.2426,1.2450,7859
2014.12.01,00:00,1.2446,1.2506,1.2418,1.2472,10784
2014.12.02,00:00,1.2471,1.2475,1.2376,1.2383,9027
2014.12.03,00:00,1.2382,1.2390,1.2300,1.2306,10256
2014.12.04,00:00,1.2307,1.2456,1.2280,1.2377,14589
2014.12.05,00:00,1.2378,1.2391,1.2270,1.2281,11299
2014.12.08,00:00,1.2288,1.2343,1.2246,1.2316,9226
2014.12.09,00:00,1.2315,1.2447,1.2291,1.2378,13435
2014.12.10,00:00,1.2377,1.2447,1.2361,1.2445,10412
2014.12.11,00:00,1.2444,1.2494,1.2369,1.2406,13443
2014.12.12,00:00,1.2405,1.2484,1.2383,1.2461,11293
2014.12.15,00:00,1.2471,1.2478,1.2414,1.2445,11472
2014.12.16,00:00,1.2444,1.2569,1.2435,1.2511,16896
2014.12.17,00:00,1.2510,1.2515,1.2320,1.2331,17345
2014.12.18,00:00,1.2330,1.2352,1.2265,1.2287,13123
2014.12.19,00:00,1.2288,1.2301,1.2219,1.2227,10456
2014.12.22,00:00,1.2220,1.2272,1.2216,1.2227,6061
2014.12.23,00:00,1.2226,1.2245,1.2164,1.2172,5587
2014.12.24,00:00,1.2171,1.2219,1.2169,1.2201,3401
2014.12.26,00:00,1.2213,1.2221,1.2168,1.2182,2260
2014.12.29,00:00,1.2178,1.2220,1.2142,1.2155,5395
2014.12.30,00:00,1.2154,1.2187,1.2123,1.2156,6615
2014.12.31,00:00,1.2157,1.2169,1.2097,1.2101,4712
2015.01.02,00:00,1.2067,1.2072,1.2000,1.2000,7536
2015.01.05,00:00,1.1949,1.1976,1.1886,1.1932,11169
2015.01.06,00:00,1.1931,1.1968,1.1842,1.1872,12743
2015.01.07,00:00,1.1874,1.1896,1.1801,1.1833,13406
2015.01.08,00:00,1.1832,1.1847,1.1753,1.1790,10078
2015.01.09,00:00,1.1789,1.1845,1.1762,1.1840,12492
2015.01.12,00:00,1.1863,1.1870,1.1785,1.1828,10050
2015.01.13,00:00,1.1829,1.1859,1.1752,1.1775,12194
2015.01.14,00:00,1.1776,1.1846,1.1726,1.1788,14771
2015.01.15,00:00,1.1787,1.1790,1.1567,1.1626,30500
2015.01.16,00:00,1.1628,1.1648,1.1459,1.1561,19597
2015.01.19,00:00,1.1564,1.1638,1.1551,1.1604,9940
2015.01.20,00:00,1.1603,1.1614,1.1540,1.1554,10926
2015.01.21,00:00,1.1555,1.1679,1.1541,1.1613,13804
2015.01.22,00:00,1.1612,1.1652,1.1315,1.1369,20235
2015.01.23,00:00,1.1368,1.1373,1.1114,1.1204,20864
2015.01.26,00:00,1.1145,1.1295,1.1097,1.1236,14771
2015.01.27,00:00,1.1237,1.1422,1.1223,1.1370,16408
2015.01.28,00:00,1.1371,1.1382,1.1272,1.1276,14381
2015.01.29,00:00,1.1275,1.1367,1.1261,1.1328,13269
2015.01.30,00:00,1.1327,1.1363,1.1278,1.1291,14883
2015.02.02,00:00,1.1311,1.1361,1.1292,1.1334,12516
2015.02.03,00:00,1.1335,1.1533,1.1312,1.1463,17413
2015.02.04,00:00,1.1464,1.1484,1.1315,1.1334,15346
2015.02.05,00:00,1.1335,1.1498,1.1303,1.1476,16984
2015.02.06,00:00,1.1477,1.1477,1.1311,1.1315,13993
2015.02.09,00:00,1.1311,1.1358,1.1269,1.1324,11738
2015.02.10,00:00,1.1323,1.1345,1.1272,1.1315,13208
2015.02.11,00:00,1.1316,1.1351,1.1279,1.1329,13975
2015.02.12,00:00,1.1328,1.1422,1.1301,1.1400,13774
2015.02.13,00:00,1.1401,1.1442,1.1379,1.1391,9535
2015.02.16,00:00,1.1397,1.1428,1.1319,1.1346,7700
2015.02.17,00:00,1.1345,1.1448,1.1321,1.1409,11307
2015.02.18,00:00,1.1410,1.1415,1.1333,1.1401,11811
2015.02.19,00:00,1.1402,1.1450,1.1355,1.1362,10072
2015.02.20,00:00,1.1363,1.1429,1.1278,1.1380,16307
2015.02.23,00:00,1.1381,1.1393,1.1294,1.1335,9005
2015.02.24,00:00,1.1334,1.1357,1.1288,1.1339,11237
